rule_idx,n_matches,support_count,support_rate,X_mean_rule,X_sigma_rule,high_support,low_variance,num_attributes,dominant_month,dominant_quarter,dominant_day
2109,1774,1772,0.4306,-0.002,0.376,1,1,2,3,1,4
11217,1715,1715,0.4168,-0.004,0.377,1,1,2,6,3,4
18903,1716,1715,0.4168,-0.006,0.385,1,1,2,6,2,2
15756,1691,1689,0.4104,-0.011,0.382,1,1,2,7,2,3
19052,1690,1689,0.4104,0.004,0.379,1,1,2,7,2,4
14783,1669,1669,0.4056,0.003,0.373,1,1,2,3,2,1
5063,1666,1665,0.4046,0.005,0.388,1,1,2,5,1,1
10950,1665,1665,0.4046,-0.007,0.373,1,1,2,5,3,3
15493,1665,1665,0.4046,-0.014,0.381,1,1,2,5,3,2
3118,1666,1664,0.4044,-0.009,0.386,1,1,2,5,3,1
