rule_idx,n_matches,support_count,support_rate,X_mean_rule,X_sigma_rule,high_support,low_variance,num_attributes,dominant_month,dominant_quarter,dominant_day
15980,1773,1773,0.4309,0.002,0.578,1,1,2,4,4,1
3062,1776,1772,0.4306,0.003,0.556,1,1,2,3,1,2
10894,1716,1715,0.4168,0.003,0.563,1,1,2,6,2,1
5394,1669,1669,0.4056,-0.001,0.581,1,1,2,7,3,2
3089,1670,1668,0.4053,0.005,0.549,1,1,2,3,4,3
942,1665,1665,0.4046,0.009,0.568,1,1,2,5,3,2
6707,1665,1665,0.4046,0.01,0.588,1,1,2,5,4,2
13544,1667,1665,0.4046,0.012,0.573,1,1,2,5,3,4
16019,1665,1664,0.4044,-0.0,0.592,1,1,2,5,3,1
908,1625,1623,0.3944,-0.007,0.553,1,1,2,3,2,3
