rule_idx,n_matches,support_count,support_rate,X_mean_rule,X_sigma_rule,high_support,low_variance,num_attributes,dominant_month,dominant_quarter,dominant_day
13178,1716,1715,0.4168,-0.001,0.53,1,1,2,6,4,1
1703,1690,1689,0.4104,0.006,0.515,1,1,2,7,3,4
12437,1669,1669,0.4056,0.003,0.52,1,1,2,7,4,2
5565,1665,1665,0.4046,0.009,0.53,1,1,2,5,4,3
10252,1666,1665,0.4046,0.003,0.543,1,1,2,5,1,1
6366,1665,1664,0.4044,0.004,0.523,1,1,2,5,1,1
8007,1665,1664,0.4044,0.006,0.541,1,1,2,5,3,3
12065,1625,1623,0.3944,0.013,0.525,1,1,2,3,4,3
13980,1624,1623,0.3944,0.002,0.529,1,1,2,5,3,1
18180,1623,1623,0.3944,0.002,0.497,1,1,2,3,4,1
