rule_idx,n_matches,support_count,support_rate,X_mean_rule,X_sigma_rule,high_support,low_variance,num_attributes,dominant_month,dominant_quarter,dominant_day
12118,1776,1772,0.4306,0.018,0.567,1,1,2,3,3,2
13376,1717,1715,0.4168,0.02,0.577,1,1,2,6,3,1
14127,1716,1715,0.4168,-0.012,0.58,1,1,2,6,3,1
3513,1690,1689,0.4104,0.029,0.564,1,1,2,7,4,4
11976,1670,1668,0.4053,0.009,0.565,1,1,2,3,3,3
7201,1667,1665,0.4046,0.016,0.574,1,1,2,5,3,4
10481,1666,1664,0.4044,0.016,0.58,1,1,2,5,4,1
2015,1624,1623,0.3944,0.002,0.579,1,1,2,5,4,2
13436,1624,1623,0.3944,0.008,0.623,1,1,2,5,3,2
10457,1623,1621,0.3939,0.006,0.585,1,1,2,5,3,4
