Rule_ID,Rule_Score,support_rate,support_count,Concentration_Est,Avg_Sigma,Deviation,Quadrant,NumAttr,X(t+1)_mean,X(t+1)_sigma,X(t+2)_mean,X(t+2)_sigma,Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8
3,0.0017473018037694845,0.0041,17,0.5007511266900351,0.49849999999999994,1.1749999999999998,Q4(+-),7,0.102,0.566,-0.08,0.431,NZDJPY_Down(t-3),CHFJPY_Up(t-3),GBPUSD_Up(t-0),NZDUSD_Up(t-5),USDCAD_Up(t-3),USDCHF_Up(t-3),GBPCAD_Down(t-0),0
1,0.0007085396306953193,0.0041,17,0.3992015968063872,0.7525,2.31,Q1(++),1,0.563,1.174,0.062,0.331,USDCHF_Stay(t-4),0,0,0,0,0,0,0
16,0.0006369812518665641,0.0061,25,0.4730368968779565,0.557,4.53,Q4(+-),7,0.199,0.671,-0.164,0.443,GBPJPY_Up(t-5),EURJPY_Down(t-4),EURUSD_Down(t-2),USDCHF_Up(t-3),EURGBP_Up(t-4),EURCHF_Up(t-0),GBPCAD_Up(t-1),0
220,0.000621277267168948,0.0126,52,0.49504950495049505,0.51,10.04,Q2(-+),6,-0.329,0.601,0.131,0.419,GBPJPY_Up(t-0),GBPJPY_Down(t-3),AUDUSD_Down(t-4),EURCHF_Up(t-0),GBPAUD_Down(t-5),GBPCAD_Up(t-5),0,0
8,0.0005711499616911611,0.0041,17,0.4081632653061224,0.725,2.9299999999999997,Q2(-+),7,-0.029,0.401,0.536,1.049,CADJPY_Up(t-1),EURUSD_Down(t-5),GBPUSD_Down(t-4),AUDUSD_Up(t-0),EURGBP_Up(t-2),EURAUD_Up(t-0),AUDCAD_Down(t-5),0
701,0.0005628344342106851,0.0112,46,0.5045408678102926,0.491,10.04,Q2(-+),6,-0.167,0.469,0.215,0.513,CHFJPY_Down(t-5),AUDUSD_Down(t-5),NZDUSD_Up(t-2),NZDUSD_Down(t-5),USDCHF_Down(t-5),GBPAUD_Down(t-4),0,0
615,0.0005330200708185098,0.0102,42,0.5246589716684155,0.453,10.04,Q1(++),6,0.209,0.506,0.131,0.4,GBPJPY_Down(t-4),EURUSD_Down(t-2),NZDUSD_Down(t-3),EURGBP_Down(t-1),EURCHF_Up(t-2),GBPAUD_Down(t-5),0,0
508,0.0005059974007712465,0.0095,39,0.53475935828877,0.435,10.04,Q4(+-),6,0.127,0.448,-0.227,0.422,EURJPY_Up(t-0),NZDUSD_Up(t-3),NZDUSD_Down(t-0),USDCHF_Up(t-3),EURAUD_Up(t-2),GBPAUD_Down(t-4),0,0
552,0.0004960835062497968,0.0116,48,0.4293688278231,0.6645000000000001,10.04,Q1(++),6,0.245,0.684,0.333,0.645,USDJPY_Up(t-5),EURJPY_Down(t-2),CADJPY_Down(t-5),CHFJPY_Down(t-2),EURAUD_Up(t-0),EURCHF_Up(t-4),0,0
458,0.00048545314540158693,0.0087,36,0.5602240896358543,0.3925,10.04,Q2(-+),5,-0.077,0.388,0.126,0.397,GBPJPY_Up(t-2),GBPJPY_Down(t-4),NZDJPY_Up(t-4),EURAUD_Up(t-1),GBPCAD_Up(t-4),0,0,0
29,0.00047555005773293707,0.0041,17,0.49236829148202865,0.5155,4.245,Q4(+-),6,0.226,0.43,-0.264,0.601,AUDJPY_Up(t-3),NZDJPY_Down(t-3),CHFJPY_Down(t-0),GBPUSD_Down(t-0),AUDUSD_Up(t-1),EURAUD_Up(t-0),0,0
355,0.0004677286897885474,0.0095,39,0.49431537320810687,0.5115,10.04,Q1(++),6,0.204,0.447,0.12,0.576,USDJPY_Down(t-4),NZDJPY_Down(t-5),CADJPY_Down(t-5),NZDUSD_Up(t-5),EURAUD_Down(t-3),GBPCAD_Up(t-3),0,0
155,0.00045394828193926715,0.0085,35,0.5361930294906166,0.4325,10.04,Q4(+-),6,0.14,0.394,-0.147,0.471,AUDUSD_Up(t-3),NZDUSD_Up(t-4),USDCAD_Down(t-0),EURCHF_Down(t-0),AUDCAD_Down(t-4),AUDNZD_Down(t-1),0,0
234,0.0004493702472487968,0.0085,35,0.5307855626326964,0.442,10.04,Q1(++),7,0.132,0.436,0.255,0.448,CADJPY_Down(t-2),CHFJPY_Up(t-4),NZDUSD_Down(t-2),EURGBP_Up(t-5),EURCHF_Up(t-5),GBPCAD_Up(t-3),AUDNZD_Up(t-5),0
678,0.00044163460918974085,0.0085,35,0.5216484089723527,0.4585,10.04,Q2(-+),6,-0.112,0.457,0.268,0.46,AUDJPY_Up(t-2),EURUSD_Up(t-0),GBPUSD_Up(t-3),GBPUSD_Down(t-2),USDCHF_Up(t-3),EURGBP_Up(t-4),0,0
27,0.00043194568664119045,0.0085,35,0.5102040816326531,0.48,10.04,Q2(-+),7,-0.023,0.492,0.327,0.468,GBPJPY_Up(t-2),EURJPY_Up(t-0),EURUSD_Up(t-0),EURUSD_Down(t-2),GBPUSD_Up(t-3),EURAUD_Up(t-1),EURAUD_Down(t-3),0
651,0.00043106596019181935,0.0085,35,0.5091649694501018,0.482,10.04,Q4(+-),6,0.334,0.575,-0.099,0.389,USDJPY_Up(t-2),CADJPY_Up(t-1),EURUSD_Up(t-0),GBPUSD_Up(t-1),NZDUSD_Down(t-0),AUDNZD_Down(t-5),0,0
110,0.0004287485818316139,0.0078,32,0.5518763796909492,0.406,10.04,Q4(+-),5,0.115,0.489,-0.077,0.323,USDJPY_Up(t-0),AUDJPY_Down(t-2),CADJPY_Up(t-2),EURUSD_Up(t-4),GBPUSD_Down(t-4),0,0,0
348,0.0004211483874228246,0.008,33,0.5285412262156448,0.446,10.04,Q4(+-),6,0.211,0.427,-0.121,0.465,CADJPY_Up(t-0),AUDUSD_Up(t-3),NZDUSD_Up(t-1),EURCHF_Down(t-4),GBPAUD_Up(t-0),AUDCAD_Down(t-3),0,0
11,0.00041872473825753625,0.0053,22,0.5285412262156448,0.446,6.6899999999999995,Q1(++),7,0.096,0.496,0.242,0.396,GBPJPY_Up(t-3),EURUSD_Up(t-3),EURUSD_Down(t-4),GBPUSD_Up(t-2),AUDUSD_Up(t-4),USDCAD_Up(t-5),EURGBP_Up(t-5),0
405,0.0004023264786529697,0.0078,32,0.5178663904712584,0.4655,10.04,Q1(++),6,0.237,0.374,0.165,0.557,GBPJPY_Up(t-0),EURUSD_Up(t-2),AUDUSD_Up(t-4),USDCHF_Up(t-2),GBPCAD_Down(t-3),AUDCAD_Down(t-5),0,0
334,0.00040200073400604617,0.0085,35,0.47483380816714155,0.5529999999999999,10.04,Q4(+-),6,0.223,0.525,-0.179,0.581,NZDJPY_Up(t-5),EURUSD_Up(t-4),GBPUSD_Down(t-4),AUDUSD_Up(t-1),USDCAD_Up(t-2),AUDCAD_Down(t-3),0,0
201,0.00039387412430451547,0.0073,30,0.5417118093174431,0.42300000000000004,10.04,Q1(++),7,0.227,0.397,0.073,0.449,CADJPY_Up(t-2),EURUSD_Up(t-0),AUDUSD_Down(t-4),EURCHF_Down(t-0),GBPCAD_Down(t-4),AUDCAD_Up(t-0),AUDNZD_Down(t-2),0
194,0.0003915788459066958,0.0078,32,0.5040322580645161,0.492,10.04,Q4(+-),6,0.309,0.508,-0.172,0.476,GBPJPY_Down(t-4),EURUSD_Down(t-5),AUDUSD_Up(t-5),USDCHF_Up(t-2),GBPCAD_Up(t-0),AUDNZD_Up(t-4),0,0
659,0.0003872843620532824,0.0078,32,0.4985044865403788,0.503,10.04,Q4(+-),7,0.286,0.561,-0.212,0.445,GBPJPY_Up(t-0),CADJPY_Down(t-5),NZDUSD_Down(t-0),USDCAD_Down(t-3),USDCHF_Down(t-5),EURAUD_Down(t-1),AUDCAD_Down(t-3),0
416,0.0003846002130093488,0.0078,32,0.49504950495049505,0.51,10.04,Q2(-+),7,-0.195,0.6,0.076,0.42,USDJPY_Up(t-5),EURJPY_Down(t-2),CADJPY_Up(t-4),AUDUSD_Up(t-0),EURGBP_Down(t-5),EURCHF_Up(t-1),AUDCAD_Up(t-2),0
676,0.00038190795101801387,0.0075,31,0.5112474437627812,0.478,10.04,Q4(+-),6,0.067,0.511,-0.201,0.445,GBPJPY_Up(t-4),CADJPY_Down(t-4),EURUSD_Up(t-1),AUDUSD_Up(t-1),EURCHF_Up(t-0),AUDCAD_Down(t-4),0,0
532,0.0003808296226857277,0.0078,32,0.49019607843137253,0.52,10.04,Q2(-+),7,-0.032,0.573,0.041,0.467,EURJPY_Up(t-3),CADJPY_Up(t-0),EURUSD_Up(t-0),NZDUSD_Up(t-2),USDCHF_Up(t-1),GBPCAD_Up(t-0),GBPCAD_Down(t-1),0
584,0.00038057377476991596,0.007,29,0.5458515283842794,0.41600000000000004,10.04,Q1(++),7,0.244,0.431,0.001,0.401,USDJPY_Down(t-4),AUDJPY_Down(t-5),NZDJPY_Down(t-3),NZDUSD_Up(t-5),USDCHF_Up(t-0),USDCHF_Down(t-5),AUDCAD_Up(t-5),0
574,0.0003688947912055482,0.0075,31,0.4938271604938272,0.5125,10.04,Q4(+-),7,0.109,0.434,-0.312,0.591,USDJPY_Down(t-4),AUDJPY_Up(t-1),EURUSD_Down(t-4),AUDUSD_Up(t-2),EURGBP_Up(t-2),EURAUD_Down(t-4),GBPAUD_Up(t-3),0
652,0.00036758929902231324,0.0073,30,0.5055611729019212,0.489,10.04,Q3(--),7,-0.108,0.571,-0.077,0.407,USDJPY_Down(t-2),EURGBP_Up(t-4),EURGBP_Down(t-2),EURAUD_Down(t-4),EURCHF_Up(t-1),GBPAUD_Down(t-1),AUDNZD_Up(t-1),0
555,0.00036703262668659036,0.0073,30,0.5047955577990914,0.49050000000000005,10.04,Q4(+-),6,0.131,0.46,-0.218,0.521,USDJPY_Down(t-0),AUDJPY_Down(t-5),CHFJPY_Up(t-5),CHFJPY_Down(t-2),USDCHF_Up(t-0),GBPCAD_Down(t-4),0,0
