stock_code,volatility_std,mean_x,abs_mean_x,min_x,max_x,range,count
9201,2637.057050297295,36.263952164009105,37.508735763097945,-88.03,191399.99,191488.02,5268
8766,238.6262319968504,3.1867976461655267,5.083225132877753,-820.9,17295.27,18116.170000000002,5268
3436,6.618926596777796,0.11744495064540623,1.7926917236142748,-50.0,433.52,483.52,5268
4755,3.401461190613957,0.0670728929384966,2.203264996203493,-19.64,34.11,53.75,5268
9984,3.340429160975919,0.06374335611237662,2.2289521640091112,-17.22,20.39,37.61,5268
1808,3.2947588705735256,0.06721336370539104,2.1007137433561125,-22.31,42.86,65.17,5268
5541,3.221111324235972,0.05860478359908884,2.1576860288534547,-28.26,36.59,64.85000000000001,5268
6976,3.128588196400792,0.04861047835990889,2.237646165527715,-16.64,20.2,36.84,5268
5707,2.96124001121967,0.056512908124525446,2.1327657555049355,-19.1,21.51,40.61,5268
7003,2.942199064427296,0.03469438116932423,2.034884206529992,-21.62,22.67,44.290000000000006,5268
6857,2.9294477819362035,0.0379290053151101,2.120472665148063,-14.93,20.23,35.16,5268
7202,2.9291265267670004,0.0633466211085801,1.9781833712984054,-21.52,27.03,48.55,5268
6103,2.91112365081942,0.07114654517843585,2.0763249810174638,-15.66,26.72,42.379999999999995,5268
5801,2.909614850976282,0.015170842824601367,2.027611996962794,-15.67,18.62,34.29,5268
2432,2.9058019614822475,0.06887243735763099,1.5913895216400913,-20.44,65.68,86.12,5268
2768,2.8764571739669456,0.024491268033409272,1.8836370539104024,-20.0,28.97,48.97,5268
7735,2.8631662389060675,0.06309794988610477,2.0193432042520882,-19.26,18.29,37.55,5268
6770,2.839434461473122,0.04323652239939255,2.013373196659074,-18.34,18.08,36.42,5268
5803,2.831713105412904,0.049386864085041754,1.989607061503417,-18.87,27.92,46.790000000000006,5268
6302,2.8256827051894793,0.05731586940015186,1.9982422171602126,-15.37,22.88,38.25,5268
7013,2.822181948355847,0.07260060744115412,1.9521753986332573,-22.16,35.37,57.53,5268
6753,2.8137730432288444,-0.01002277904328017,1.8876841305998482,-29.08,19.1,48.18,5268
5715,2.795350355397629,0.042936598329536835,1.9310763097949886,-20.51,32.97,53.480000000000004,5268
4188,2.794860957129561,0.04056757782839787,1.6030353075170845,-50.0,116.76,166.76,5268
6703,2.7909160771906976,0.0071165527714502725,1.8622835990888382,-33.61,24.39,58.0,5268
6508,2.7761533423299274,0.06761009870918755,1.8978910402429765,-18.93,21.64,40.57,5268
8804,2.775883157633584,0.07054859529233107,1.8946260440394835,-16.54,21.22,37.76,5268
6506,2.759275424237216,0.07803530751708428,1.9438325740318907,-17.6,22.4,40.0,5268
3103,2.7577296511914104,0.02798405466970387,1.9219134396355353,-20.83,25.0,45.83,5268
9983,2.7471080383032733,0.08365413819286256,1.877720197418375,-18.96,18.08,37.04,5268
7211,2.7338076856833866,-0.012765755504935465,1.7901955201214883,-24.92,34.25,59.17,5268
4043,2.697684771237739,0.04111427486712225,1.84003986332574,-25.0,30.39,55.39,5268
8308,2.6934240380120675,-0.011666666666666662,1.7601328777524676,-19.25,35.71,54.96,5268
7004,2.6866154157459734,0.03501138952164009,1.7605429005315107,-26.83,26.32,53.15,5268
2269,2.680321574183393,0.06439066059225514,1.300996583143508,-57.66,120.89,178.55,5268
9501,2.679490201026634,-0.00541951404707669,1.468897114654518,-27.62,35.81,63.43000000000001,5268
7261,2.677184077054999,0.018177676537585428,1.8706074411541382,-18.26,23.5,41.760000000000005,5268
4704,2.6727568495623295,0.03733105542900532,1.7710098709187547,-16.29,25.33,41.62,5268
8309,2.6669451551977654,0.05611427486712225,1.7091894457099466,-15.57,54.44,70.00999999999999,5268
6674,2.6642617125936447,0.061957099468489,1.7788022019741836,-18.98,32.79,51.769999999999996,5268
5301,2.6609891547929827,0.0811522399392559,1.824652619589977,-17.78,24.84,42.620000000000005,5268
7733,2.650996186393057,0.07063591495823843,1.7345842824601365,-29.01,23.29,52.3,5268
5406,2.6508052942939777,0.03576879271070615,1.8835022779043278,-21.93,19.87,41.8,5268
6504,2.6308869639255112,0.0489749430523918,1.8310516324981017,-19.54,24.44,43.980000000000004,5268
8253,2.6303838842763816,0.03246203492786637,1.8626556567957477,-18.54,18.9,37.44,5268
9107,2.6300455784991876,0.047771450265755515,1.8538420652999243,-14.65,21.15,35.8,5268
9766,2.6209304211998026,0.03315299924069856,1.7933352315869402,-19.05,17.17,36.22,5268
6479,2.6130436568233253,0.04238230827638571,1.8559700075930143,-17.19,21.62,38.81,5268
6472,2.61196702552604,0.0392046317388003,1.8806245254365985,-14.14,22.53,36.67,5268
5232,2.6079891684773413,0.0570520121488231,1.7246412300683371,-15.22,38.46,53.68,5268
6762,2.6037433986158476,0.04033599088838268,1.8524012908124527,-17.13,15.38,32.51,5268
8830,2.5989947145683168,0.07962604403948367,1.84581814730448,-14.44,19.73,34.17,5268
5233,2.5985875287551927,0.046854593773728165,1.8212129840546696,-21.17,21.24,42.41,5268
5706,2.5972801660483755,0.03630979498861047,1.8962072892938495,-18.0,16.86,34.86,5268
4902,2.5909805035028874,0.03999050873196659,1.80457668944571,-15.17,19.12,34.29,5268
7731,2.5900495440429565,0.008980637813211848,1.7900512528473804,-18.95,15.05,34.0,5268
6471,2.586143943318462,0.04581624905087319,1.8610288534548214,-14.95,15.22,30.17,5268
6305,2.5775659465056004,0.07647873955960516,1.7800854214123008,-17.7,19.87,37.57,5268
6473,2.5585603648198223,0.03746013667425969,1.8293507972665148,-13.71,15.11,28.82,5268
7205,2.5562002033483444,0.057243735763097964,1.7791040242976461,-14.1,27.87,41.97,5268
4042,2.5533720616379374,0.0549810174639332,1.846640091116173,-17.11,16.13,33.239999999999995,5268
5214,2.552242404447448,0.03156605922551252,1.7316799544419135,-17.35,19.42,36.77,5268
5713,2.5461874497847883,0.08305049354593773,1.8382668944570995,-16.38,16.64,33.019999999999996,5268
5714,2.5289131842830077,0.06843963553530752,1.7915831435079725,-18.54,17.41,35.95,5268
1963,2.525356347495931,0.06274867122247532,1.817976461655277,-14.52,17.08,31.599999999999998,5268
8604,2.524975658208561,0.015491647684130597,1.7887870159453307,-15.36,16.33,31.689999999999998,5268
6841,2.523385638395445,0.05676727410782081,1.8030391040242977,-16.49,17.47,33.959999999999994,5268
5703,2.520518381369268,0.0540356871678056,1.7874335611237662,-17.61,21.25,38.86,5268
8601,2.512039805487985,0.016845102505694758,1.8024677296886866,-17.24,16.99,34.23,5268
4004,2.5108208202493447,0.051725512528473815,1.8001347760060746,-15.79,17.31,33.099999999999994,5268
6361,2.493944909938819,0.027547456340167052,1.7850113895216402,-18.1,14.21,32.31,5268
5711,2.493899371558819,0.03515375854214125,1.7732137433561121,-13.79,22.73,36.519999999999996,5268
6724,2.4859484506199236,0.019722854973424443,1.6600075930144267,-16.63,25.06,41.69,5268
4208,2.4851720288863524,0.03736522399392557,1.7495558086560363,-24.62,26.49,51.11,5268
8316,2.4831776119072964,0.02923690205011389,1.661545178435839,-19.78,16.85,36.63,5268
9104,2.473218848277312,0.04937167805618831,1.7869684889901292,-14.96,17.94,32.900000000000006,5268
2413,2.4731608292197267,0.11992976461655276,1.5249069855732726,-15.86,17.94,33.8,5268
8002,2.455978187494366,0.048880030372057695,1.68243735763098,-15.8,21.67,37.47,5268
