support,concentration,dominant_quadrant,q1,q2,q3,q4,mean_t1,mean_t2,sigma_t1,sigma_t2,abs_mean_t1,abs_mean_t2,rule_id
31,58.06451612903226,Q1(++),18,6,6,1,0.05838709677419355,0.10000000000000002,0.34939086778939094,0.2585085427344069,0.05838709677419355,0.10000000000000002,1231
40,57.49999999999999,Q1(++),23,6,7,4,0.17775000000000002,0.085,0.3319135468222148,0.3898586200018458,0.17775000000000002,0.085,970
33,54.54545454545454,Q3(--),7,5,18,3,-0.09454545454545453,-0.052424242424242415,0.41635389776225007,0.2761230511817863,0.09454545454545453,0.052424242424242415,1047
36,52.77777777777778,Q3(--),5,6,19,6,-0.03777777777777777,-0.13833333333333334,0.32731034736479614,0.43896306385454736,0.03777777777777777,0.13833333333333334,339
50,52.0,Q3(--),7,7,26,10,-0.10480000000000002,-0.11099999999999997,0.41695318584185614,0.29281358561099474,0.10480000000000002,0.11099999999999997,915
31,51.61290322580645,Q1(++),16,7,5,3,0.11838709677419353,0.0787096774193548,0.49622640514314664,0.33528835286942565,0.11838709677419353,0.0787096774193548,1223
31,51.61290322580645,Q3(--),4,6,16,5,-0.047096774193548394,-0.007741935483870975,0.19308363556391994,0.296498562980434,0.047096774193548394,0.007741935483870975,896
33,51.515151515151516,Q4(-+),3,6,7,17,-0.07818181818181819,0.050606060606060606,0.29032798850453756,0.4261084031231034,0.07818181818181819,0.050606060606060606,139
33,51.515151515151516,Q3(--),3,7,17,6,-0.08424242424242424,-0.1790909090909091,0.33440273532664083,0.43592117719522727,0.08424242424242424,0.1790909090909091,497
33,51.515151515151516,Q2(+-),6,17,4,6,0.08818181818181818,-0.06333333333333332,0.3791475186640299,0.35880588995537216,0.08818181818181818,0.06333333333333332,946
